Phase,Step,Index,Task,Owner,Category,Parent Task index,Assigned to,Sub Role (for team assigned),AI/Automate,Days,Description,Checklist
Pitch,Pitch,1,Read Script/Review Breakdowns,Mediente,Execute,,,,,1,,
Pitch,Pitch,2,Location Pitch Deck for Prod Co,Mediente,Execute,,,,,3,Use AI in research but double check,
Milestone,Milestone,3,Sign Production Services Agreement,Prod co + Mediente,Execute,,,,,7,,
Film Setup,Film Setup,4,Review Script: Ensure it is production ready,Mediente,Execute,3,,,,4,,
Film Setup,Film Setup,5,Review Script: Cultural Test,Mediente,Execute,,,,,,,
Film Setup,Film Setup,6,Review Breakdown: Focus on prodcution elements/costs,Mediente,Execute,3,,,,3,Location deck most important,
Film Setup,Film Setup,7,Workflow Meeting: Prod Co + Mediente,Prod co + Mediente,Coordinate,6,,,,1,,
Film Setup,Film Setup,8,Create Tentative Schedule,Mediente,Execute,7,,,,3,,
Film Setup,Film Setup,9,Create Tentative Budget,Mediente,Execute,7,,,,3,,
Film Setup,Film Setup,10,Hire local fixer,Mediente,Execute,3,,,,6,Checklist: contract/onboard form,
Film Setup,Film Setup,11,"Circulate Location Deck to fixer, get prelim location ref",Dir/Prod,Coordinate,7,,,,14,+ any other specific requirement,
Film Setup,Film Setup,12,Circulate Onboarding Form to recce team,Production,Execute,7,,,,2,,
Film Setup,Film Setup,13,"Start Visa process: Collect data, apply",Production,Execute,12,,,,7,,
Prelim Recce,Prelim Recce,14,Review prelim locations,Direction,Coordinate,11,,,,,,
Prelim Recce,Prelim Recce,15,Finalise recce plan - itinerary,Dir/Prod,Execute,14,,,,,,
Prelim Recce,Prelim Recce,16,"Lock Recce Execution Plan :  travel, hotel, meals, local transport",Mediente,Execute,15,,,,,,
Prelim Recce,Prelim Recce,17,Book tickets and hotels,Mediente,Execute,15,,,,,,
Prelim Recce,Prelim Recce,18,Load forex card,Mediente,Execute,15,,,,,,
Prelim Recce,Prelim Recce,19,Mail location recce itinerary to the team,Mediente,Execute,17,,,,,,
Prelim Recce,Prelim Recce,20,"Check Recce gear - camera, lighting compass etc",Mediente,Coordinate,15,,,,,,
Prelim Recce,Prelim Recce,21,Create One Drive folder to store recce reports/ref. Give access to the team,Mediente,Execute,15,,,,,,
Prelim Recce,Prelim Recce,22,Circulate location evaluation checklist/template,Mediente,Execute,15,,,,,"Checklist should capture:  location photos, floorplans, access maps
Assess key issues: noise, permits, electricity, power needs, water; Safety and Risk Assessment; Document all restrictions: hours, rules, local sensitivities; Record access routes, basecamp feasibility, and crew movement options; Collect per-location cost estimates or permit fees",
Milestone,Milestone,23,Prelim Recce,,,,,,,,,
Prelim Recce,Prelim Recce,24,Make note of HOD-Specific Technical Surveys on Shortlisted Locations,Mediente,Coordinate,23,,,,,,
Prelim Recce,Prelim Recce,25,Prepare post-recce Location Report,Location Manager,Coordinate,23,,,,,,
Prelim Recce,Prelim Recce,26,File Recce Expense Report,,Coordinate,23,,,,,,
Prelim Recce,Prelim Recce,27,Location Review Meeting: Prod Co + Mediente. Lock locations.,Dir/Med,Coordinate,26,,,,,,
SPV,SPV,28,Get chain of Title,Prod Co,Coordinate,3,,,,,,
SPV,SPV,29,Script Translation,Mediente,Coordinate,3,,,,,,
SPV,SPV,30,Set up SPV and incorporate company,Mediente,Execute,27,,,,,,
SPV,SPV,31,Confirm signatory protocol for SPV bank account,Prod co + Mediente,Coordinate,27,,,,,,
SPV,SPV,32,Open SPV bank account,Mediente,Execute,27,,,,,,
SPV,SPV,33,Appoint rebate consultant,Mediente,Execute,27,,,,,,
SPV,SPV,34,Hire Legal and Account team,Mediente,Execute,27,,,,,,
SPV,SPV,35,Submit preliminary rebate application or letter of intent,Mediente,Coordinate,27,,,,,,
SPV,SPV,36,Register SPV/project with rebate authority,Mediente,Coordinate,27,,,,,,
SPV,SPV,37,Vet final script to ensure it qualifies for rebate requirements,Mediente,Coordinate,27,,,,,Flag and track key scenes essential for rebate eligibility,
SPV,SPV,38,File tax rebate application,Mediente,Coordinate,37,,,,,,